recall_Recommend_article,recall_Content_surprise,recall_view_opinion,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race-Comment,education-Comment,gender-Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude
A lot,A lot,A lot,4f63e8333f16,visual,population,two,Moderately,Moderately,A little,A lot,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,other,33,,Associate's Degree,,1679527257469.0,1679527828922.0,9.524216666666666,second,8,Emily,0,"While the field conditions weren't the only reason The Eagles didn't win, it was a big problem for the players and slowed them down.",0
Extremely,A lot,Extremely,4f63e8333f16,visual,opioids,two,Moderately,Moderately,A little,A lot,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,other,33,,Associate's Degree,,1679527257469.0,1679527828922.0,9.524216666666666,second,8,Emily,0,"While the field conditions weren't the only reason The Eagles didn't win, it was a big problem for the players and slowed them down.",0
Moderately,A lot,Moderately,cbe5be48020a,txt,drugOverdose,two,A lot,A lot,A lot,A lot,Serious problem,Moderate Priority,Neutral,Extremely serious problem,Low Priority,Neutral,Man,White/Caucasian/European,High School,30,,,,1679527261433.0,1679528157830.0,14.93995,first,7,june,3,the football field was in bad condtion,0
Moderately,Moderately,Moderately,cbe5be48020a,txt,population,two,A lot,A lot,A lot,A lot,Serious problem,Moderate Priority,Neutral,Extremely serious problem,Low Priority,Neutral,Man,White/Caucasian/European,High School,30,,,,1679527261433.0,1679528157830.0,14.93995,first,7,june,3,the football field was in bad condtion,0
A lot,Extremely,A lot,cbe5be48020a,txt,opioids,two,A lot,A lot,A lot,A lot,Serious problem,Moderate Priority,Neutral,Extremely serious problem,Low Priority,Neutral,Man,White/Caucasian/European,High School,30,,,,1679527261433.0,1679528157830.0,14.93995,first,7,june,3,the football field was in bad condtion,0
Moderately,A little,Moderately,ca7e61c24709,visual,drugOverdose,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,Moderate Priority,Strongly Oppose,Extremely serious problem,Moderate Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,34,,,,1679527265634.0,1679527705257.0,7.32705,2,8,Emily,27,The field conditions were not up to the standard at which nfl players are used to.,0
Moderately,A little,Moderately,ca7e61c24709,visual,population,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,Moderate Priority,Strongly Oppose,Extremely serious problem,Moderate Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,34,,,,1679527265634.0,1679527705257.0,7.32705,2,8,Emily,27,The field conditions were not up to the standard at which nfl players are used to.,0
Moderately,Moderately,Moderately,ca7e61c24709,visual,opioids,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,Moderate Priority,Strongly Oppose,Extremely serious problem,Moderate Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,34,,,,1679527265634.0,1679527705257.0,7.32705,2,8,Emily,27,The field conditions were not up to the standard at which nfl players are used to.,0
A lot,A little,Extremely,0614fce88f2d,visual,drugOverdose,two,A little,Moderately,A lot,Moderately,Serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,20,,,,1679527269468.0,1679527842955.0,9.558116666666669,First,8,Emily,27,"The Super Bowl 2023 was played on a poor turf, which the Eagles blamed for their narrow loss.",0
Moderately,A little,A lot,0614fce88f2d,visual,population,two,A little,Moderately,A lot,Moderately,Serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,20,,,,1679527269468.0,1679527842955.0,9.558116666666669,First,8,Emily,27,"The Super Bowl 2023 was played on a poor turf, which the Eagles blamed for their narrow loss.",0
Extremely,Moderately,Extremely,0614fce88f2d,visual,opioids,two,A little,Moderately,A lot,Moderately,Serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Somewhat Favor,Man,White/Caucasian/European,High School,20,,,,1679527269468.0,1679527842955.0,9.558116666666669,First,8,Emily,27,"The Super Bowl 2023 was played on a poor turf, which the Eagles blamed for their narrow loss.",0
Extremely,A lot,A lot,990c199828c6,visual,drugOverdose,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,other,50,,Associate's Degree,,1679527270499.0,1679531090291.0,63.6632,second,8,Emily,27 cubic feet,"The turf at the 2023 Super Bowl was bad, but the Eagles blame poor play as a bigger factor for the game loss",1
A lot,A lot,A lot,990c199828c6,visual,population,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,other,50,,Associate's Degree,,1679527270499.0,1679531090291.0,63.6632,second,8,Emily,27 cubic feet,"The turf at the 2023 Super Bowl was bad, but the Eagles blame poor play as a bigger factor for the game loss",1
Extremely,Extremely,A lot,990c199828c6,visual,opioids,two,Moderately,Moderately,Moderately,Moderately,Extremely serious problem,Moderate Priority,Somewhat Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,White/Caucasian/European,other,50,,Associate's Degree,,1679527270499.0,1679531090291.0,63.6632,second,8,Emily,27 cubic feet,"The turf at the 2023 Super Bowl was bad, but the Eagles blame poor play as a bigger factor for the game loss",1
Moderately,Moderately,A lot,72d77b4c6458,control,drugOverdose,two,Moderately,A little,A little,A little,Moderate problem,Moderate Priority,Somewhat Favor,Moderate problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,39,,,,1679527273494.0,1679527759957.0,8.107716666666667,second,8,emily,27,The players said the turf in the super bowl was bad,0
Moderately,A little,Moderately,72d77b4c6458,control,population,two,Moderately,A little,A little,A little,Moderate problem,Moderate Priority,Somewhat Favor,Moderate problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,39,,,,1679527273494.0,1679527759957.0,8.107716666666667,second,8,emily,27,The players said the turf in the super bowl was bad,0
Moderately,Moderately,Moderately,72d77b4c6458,control,opioids,two,Moderately,A little,A little,A little,Moderate problem,Moderate Priority,Somewhat Favor,Moderate problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,39,,,,1679527273494.0,1679527759957.0,8.107716666666667,second,8,emily,27,The players said the turf in the super bowl was bad,0
A lot,Extremely,A lot,15416c0a6148,visual,drugOverdose,two,A little,Moderately,A little,Moderately,Serious problem,Moderate Priority,Neutral,Extremely serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,High School,47,,,,1679527275178.0,1679528189839.0,15.24435,second,8,Emily,27,The Eagles and the Chiefs both blamed the turf for a poorly played football game. ,0
A lot,Extremely,A lot,15416c0a6148,visual,population,two,A little,Moderately,A little,Moderately,Serious problem,Moderate Priority,Neutral,Extremely serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,High School,47,,,,1679527275178.0,1679528189839.0,15.24435,second,8,Emily,27,The Eagles and the Chiefs both blamed the turf for a poorly played football game. ,0
Extremely,Extremely,A lot,15416c0a6148,visual,opioids,two,A little,Moderately,A little,Moderately,Serious problem,Moderate Priority,Neutral,Extremely serious problem,Moderate Priority,Neutral,Woman,White/Caucasian/European,High School,47,,,,1679527275178.0,1679528189839.0,15.24435,second,8,Emily,27,The Eagles and the Chiefs both blamed the turf for a poorly played football game. ,0
A lot,A little,A lot,31971c93a9b2,visual,drugOverdose,two,A little,A little,A little,A little,Serious problem,High Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Masters,61,,,,1679527275454.0,1679528075929.0,13.34125,first,8,emily,none,Eagles had some complaints about the field but said it was not an excuse for losing the game.  Maybe NFL needs to be better at checking field conditions.,0
Moderately,Moderately,Moderately,31971c93a9b2,visual,population,two,A little,A little,A little,A little,Serious problem,High Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Masters,61,,,,1679527275454.0,1679528075929.0,13.34125,first,8,emily,none,Eagles had some complaints about the field but said it was not an excuse for losing the game.  Maybe NFL needs to be better at checking field conditions.,0
A little,A little,A little,31971c93a9b2,visual,opioids,two,A little,A little,A little,A little,Serious problem,High Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Woman,White/Caucasian/European,Masters,61,,,,1679527275454.0,1679528075929.0,13.34125,first,8,emily,none,Eagles had some complaints about the field but said it was not an excuse for losing the game.  Maybe NFL needs to be better at checking field conditions.,0
Extremely,A lot,Extremely,f05ac3e95659,txt,drugOverdose,two,Not at All,A little,A little,A lot,Moderate problem,Low Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,40,,,,1679527280200.0,1679527716223.0,7.26705,FIRST,8,JUNE,9,THE TURF IN THE SUPERBOWL WAS SUBPAR BUT THE EAGLES ARENT USING IT AS AN EXCUSE,0
Extremely,A lot,Extremely,f05ac3e95659,txt,population,two,Not at All,A little,A little,A lot,Moderate problem,Low Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,40,,,,1679527280200.0,1679527716223.0,7.26705,FIRST,8,JUNE,9,THE TURF IN THE SUPERBOWL WAS SUBPAR BUT THE EAGLES ARENT USING IT AS AN EXCUSE,0
Extremely,Extremely,Extremely,f05ac3e95659,txt,opioids,two,Not at All,A little,A little,A lot,Moderate problem,Low Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,Undergraduate,40,,,,1679527280200.0,1679527716223.0,7.26705,FIRST,8,JUNE,9,THE TURF IN THE SUPERBOWL WAS SUBPAR BUT THE EAGLES ARENT USING IT AS AN EXCUSE,0
Moderately,Extremely,Extremely,8bd47a74e958,txt,drugOverdose,two,A little,Not at All,A lot,Moderately,Serious problem,Neutral,Somewhat Oppose,Extremely serious problem,Moderate Priority,Somewhat Oppose,Woman,White/Caucasian/European,High School,23,,,,1679527280427.0,1679528201281.0,15.347566666666667,Second,8,Emily,27,"Though not the reason for their loss, the Eagles head coach wanted to state that the turf used during the Superbowl was certainly subpar.",0
Moderately,Moderately,Extremely,8bd47a74e958,txt,population,two,A little,Not at All,A lot,Moderately,Serious problem,Neutral,Somewhat Oppose,Extremely serious problem,Moderate Priority,Somewhat Oppose,Woman,White/Caucasian/European,High School,23,,,,1679527280427.0,1679528201281.0,15.347566666666667,Second,8,Emily,27,"Though not the reason for their loss, the Eagles head coach wanted to state that the turf used during the Superbowl was certainly subpar.",0
Moderately,A lot,Extremely,8bd47a74e958,txt,opioids,two,A little,Not at All,A lot,Moderately,Serious problem,Neutral,Somewhat Oppose,Extremely serious problem,Moderate Priority,Somewhat Oppose,Woman,White/Caucasian/European,High School,23,,,,1679527280427.0,1679528201281.0,15.347566666666667,Second,8,Emily,27,"Though not the reason for their loss, the Eagles head coach wanted to state that the turf used during the Superbowl was certainly subpar.",0
A little,Moderately,Moderately,8812deba8168,control,drugOverdose,two,Moderately,Moderately,A little,Moderately,Minor Problem,Moderate Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Man,White/Caucasian/European,Undergraduate,32,,,,1679527285913.0,1679527938038.0,10.86875,second,8,Emily,0,"The turf in Arizona wasn't satisfactory for some of the players on the Philadelphia Eagles during the Super Bowl, but they don't credit it to their loss.",0
Moderately,A little,Moderately,8812deba8168,control,population,two,Moderately,Moderately,A little,Moderately,Minor Problem,Moderate Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Man,White/Caucasian/European,Undergraduate,32,,,,1679527285913.0,1679527938038.0,10.86875,second,8,Emily,0,"The turf in Arizona wasn't satisfactory for some of the players on the Philadelphia Eagles during the Super Bowl, but they don't credit it to their loss.",0
Moderately,A lot,Moderately,8812deba8168,control,opioids,two,Moderately,Moderately,A little,Moderately,Minor Problem,Moderate Priority,Strongly Favor,Moderate problem,Moderate Priority,Strongly Favor,Man,White/Caucasian/European,Undergraduate,32,,,,1679527285913.0,1679527938038.0,10.86875,second,8,Emily,0,"The turf in Arizona wasn't satisfactory for some of the players on the Philadelphia Eagles during the Super Bowl, but they don't credit it to their loss.",0
Extremely,A lot,A lot,bed0e18599f1,visual,drugOverdose,two,A lot,A lot,A lot,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,High School,34,,,,1679527286968.0,1679528087743.0,13.34625,first,7,June,27,The weather conditions had an effect on the playing field that negatively impacted both teams. ,0
Extremely,A lot,A lot,bed0e18599f1,visual,population,two,A lot,A lot,A lot,A lot,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,High School,34,,,,1679527286968.0,1679528087743.0,13.34625,first,7,June,27,The weather conditions had an effect on the playing field that negatively impacted both teams. ,0
